adp_rank_overall,adp_rank_skill,player,pos,team,consensus_adp,n_sources,source_spread,fp_ecr_half,delta_adp_minus_ecr,ecr_sd,ecr_best,ecr_worst,ffc_halfppr,yahoo,sleeper,rtsports,underdog_bestball,draftsharks_consensus
1,1,Jahmyr Gibbs,RB,DET,1.3,4,0.4,1,0,0.76,1,5,1.5,1.5,1.1,1.2,1.1,1.0
2,2,Bijan Robinson,RB,ATL,2.1,4,0.7,2,0,0.77,1,5,2.2,1.9,2.6,1.9,2.0,2.0
3,3,Ja'Marr Chase,WR,CIN,3.5,4,0.8,3,0,1.15,1,7,3.9,3.3,3.8,3.1,3.0,3.0
4,4,Puka Nacua,WR,LAR,4.2,4,1.6,4,0,1.42,1,9,3.1,4.7,4.4,4.5,4.2,4.0
5,5,Christian McCaffrey,RB,SF,5.8,4,1.2,8,-3,4.64,3,23,6.7,5.5,5.5,5.7,6.3,5.0
6,6,Jaxon Smith-Njigba,WR,SEA,6.1,4,1.3,5,1,1.46,3,11,5.4,6.7,6.1,6.1,5.5,6.0
7,7,Jonathan Taylor,RB,IND,6.8,4,2.1,7,0,3.12,4,20,6.0,7.1,6.1,8.1,7.7,7.0
8,8,Amon-Ra St. Brown,WR,DET,8.1,4,0.5,6,2,1.21,4,11,7.9,8.0,8.4,8.1,7.1,
9,9,James Cook III,RB,BUF,9.8,4,1.1,11,-2,3.72,5,24,9.4,9.9,10.5,9.4,10.2,9.0
10,10,CeeDee Lamb,WR,DAL,11.6,4,4.8,9,1,2.72,5,19,12.5,10.2,9.5,14.3,9.8,10.0
11,11,Justin Jefferson,WR,MIN,12.6,4,3.0,10,1,3.94,4,28,14.2,12.4,11.2,12.7,10.9,12.0
12,12,Ashton Jeanty,RB,LV,13.0,4,5.6,12,0,4.39,5,28,14.9,14.1,13.8,9.3,12.1,
13,13,De'Von Achane,RB,MIA,13.2,4,4.1,18,-5,7.24,5,45,11.6,15.7,12.0,13.3,16.9,14.0
14,14,Saquon Barkley,RB,PHI,14.7,4,4.6,16,-2,5.42,5,33,17.0,12.4,13.7,15.7,13.6,13.0
